New Releases For 8/28/2013

Every week, PREVIEWSworld announces which comics, graphic novels, toys and other pop-culture merchandise will arrive at your local comic shop. The products will be on sale in comic shops on the indicated date. This list is tentative and subject to change. Please check with your retailer for availability.

Digital Comics: Digital new releases available from your local comic book shop are marked below. [DIG] = Digital version available. [DIG/P+] = Print-Plus digital/print combo pack available. For more information, go to www.digitalcomicsreader.com.

 
PREVIEWS PUBLICATIONS

JUL130004 	PREVIEWS #300 SEP 2013 CUSTOMER ORDER FORM 	PI
JUN130789 	ALL NEW FATHOM #2 DIRECT MARKET CVR [DIG] 	$3.99
JUL131419 	ANGEL FALLING GN (MR) 	$9.99
JUN130722 	ARCANE SECRETS #1 	$3.99
JUN130780 	ASYLUM OF HORRORS #1 (MR) [DIG] 	$4.95
APR131219 	ATOMIC ROBO REAL SCIENCE ADV #10 	$2.75
JUN131367 	BTOOOM GN VOL 03 (MR) 	$11.99
JUN131368 	BUNNY DROP GN VOL 09 	$13.99
APR130796 	BUTCHER STREET GN 	$19.95
JUN131184 	CAGE OF EDEN GN VOL 11 	$10.99
MAR138285 	COMPLETE PEANUTS HC BOX SET 1963-1966 	$49.95
JUN131143 	COMPLETE PEANUTS HC BOX SET 1963-1966 	$49.95
JUL130857 	CROSSED ANNUAL 2013 #1 CHEERFUL CVR (MR) 	$5.99
JUN131056 	DAMSELS GIANT KILLER ONE SHOT 	$4.99
SEP121067 	DF ALL NEW X-MEN #1 LEE SGN ED 	$399.99
JAN131137 	DF DEADPOOL KILLUSTRATED #1 BUNN SGN ED 	$19.91
NOV121158 	DF FANTASTIC FOUR #1 FRACTION SGN ED 	$19.61
DEC121081 	DF FF #1 ALLRED SGN ED 	$19.61
SEP121071 	DF IRON MAN #1 MARQUEE LEE SGN ED 	$399.99
NOV121160 	DF VENOM #28 BUNN SGN ED 	$19.88
APR131098 	DF WARLORD OF MARS DEJAH THORIS #28 EXC RISQUE RED CVR 	$19.99
JUN131215 	DISNEY FAIRIES GN VOL 12 LOST TREASURE 	$7.99
MAY131141 	END O/T F$$$ING WORLD GN (MR) 	$19.99
JUN130706 	ENVY ONE SHOT (MR) 	$2.49
JUN130804 	EXECUTIVE ASSISTANT ASSASSINS #14 CVR A HANSON [DIG] 	$3.99
JUN130805 	EXECUTIVE ASSISTANT ASSASSINS #14 CVR B TORQUE 	$3.99
MAY130886 	EXTINCTION PARADE #2 (MR) 	$3.99
MAY130888 	EXTINCTION PARADE #2 END OF SPECIES CVR (MR) 	$3.99
MAY130887 	EXTINCTION PARADE #2 WRAP CVR (MR) 	$3.99
JUN130894 	FANBOYS VS ZOMBIES #17 [DIG] 	$3.99
JUN130879 	FUTURAMA COMICS #68 	$2.99
JUN131384 	GFT 2013 SPECIAL ED (UNLEASHED PT5) A CVR KING 	$5.99
JUN131385 	GFT 2013 SPECIAL ED (UNLEASHED PT5) B CVR LAISO 	$5.99
